"HANG SENG INDEX OPTIONS DAILY MARKET REPORT (Final)"

"Hong Kong Exchanges and Clearing Limited and/or its subsidiaries endeavour to ensure the"
"accuracy and reliability of the information provided, but do not guarantee its accuracy and"
"reliability and accept no liability (whether in tort or contract or otherwise) for any loss"
"or damage arising from any inaccuracies or omissions."


"TOP 10 TRADED (BY VOLUME)",,,"VOLUME","O.Q.P. CLOSE","IV%","DAILY HIGH","DAILY LOW","OPEN INTEREST","O.Q.P. CHANGE"

P,MAR-19,28800,5864,95,13,203,75,2290,-33
C,MAR-19,29200,5828,134,12,252,80,3831,-61
C,MAR-19,29400,5331,70,12,151,43,3657,-49
P,MAR-19,29000,5107,155,13,305,118,3691,-35
C,MAR-19,29600,4142,32,12,82,21,3954,-34
C,MAR-19,29000,3858,235,12,384,147,4413,-74
P,MAR-19,28600,3813,57,14,136,49,4647,-29
P,MAR-19,28400,2713,36,16,87,32,7680,-22
C,MAR-19,29800,2571,13,12,41,10,2565,-22
P,MAR-19,29200,2264,251,12,432,183,1759,-23

"Hang Seng Index Options HK$50 per point"

,,,"Prev.BUSINESS DAY",,,,,,,,"BUSINESS DAY"
,,,"21 MAR 2019, THURSDAY ",,,,,,,,"22 MAR 2019, FRIDAY   "

,,,"After-Hours Trading Session",,,,,,,,"Day Trading Session",,,,,,"Combined"

"CONTRACT MONTH","STRIKE PRICE","C/P","*OPENING PRICE","*DAILY HIGH","*DAILY LOW","CLOSE PRICE","VOLUME","*OPENING PRICE","*DAILY HIGH","*DAILY LOW","O.Q.P. CLOSE","O.Q.P. CHANGE","IV%","VOLUME","*CONTRACT HIGH","*CONTRACT LOW","VOLUME","OPEN INTEREST","CHANGE IN OI"
MAR-19,18000,C,0,0,0,0,0,0,0,0,11084,-34,0,0,0,0,0,0,0
MAR-19,19000,C,0,0,0,0,0,0,0,0,10084,-34,0,0,0,0,0,5,0
MAR-19,19600,C,0,0,0,0,0,0,0,0,9484,-34,0,0,7702,6953,0,2,0
MAR-19,19700,C,0,0,0,0,0,0,0,0,9384,-34,0,0,0,0,0,0,0
MAR-19,19800,C,0,0,0,0,0,0,0,0,9284,-34,0,0,0,0,0,0,0
MAR-19,19900,C,0,0,0,0,0,0,0,0,9184,-34,0,0,0,0,0,0,0
MAR-19,20000,C,0,0,0,0,0,0,0,0,9084,-34,0,0,6600,5597,0,9,0
MAR-19,20200,C,0,0,0,0,0,0,0,0,8884,-34,0,0,0,0,0,0,0
MAR-19,20400,C,0,0,0,0,0,0,0,0,8684,-34,0,0,0,0,0,0,0
MAR-19,20600,C,0,0,0,0,0,0,0,0,8484,-34,0,0,0,0,0,0,0
MAR-19,20800,C,0,0,0,0,0,0,0,0,8284,-34,0,0,0,0,0,0,0
MAR-19,21000,C,0,0,0,0,0,0,0,0,8084,-34,0,0,4450,4100,0,7,0
MAR-19,21200,C,0,0,0,0,0,0,0,0,7884,-34,0,0,0,0,0,0,0
MAR-19,21400,C,0,0,0,0,0,0,0,0,7684,-34,0,0,0,0,0,0,0
MAR-19,21600,C,0,0,0,0,0,0,0,0,7484,-34,0,0,0,0,0,0,0
MAR-19,21800,C,0,0,0,0,0,0,0,0,7284,-34,0,0,0,0,0,0,0
MAR-19,22000,C,0,0,0,0,0,0,0,0,7084,-34,0,0,6884,3620,0,2,0
MAR-19,22200,C,0,0,0,0,0,0,0,0,6884,-34,0,0,5886,4020,0,0,0
MAR-19,22400,C,0,0,0,0,0,0,0,0,6684,-34,0,0,5580,4024,0,0,0
MAR-19,22600,C,0,0,0,0,0,0,0,0,6484,-34,0,0,6033,3800,0,7,0
MAR-19,22800,C,0,0,0,0,0,0,0,0,6284,-34,0,0,0,0,0,0,0
MAR-19,23000,C,0,0,0,0,0,0,0,0,6084,-34,0,0,5247,4906,0,8,0
MAR-19,23200,C,0,0,0,0,0,0,0,0,5884,-34,0,0,0,0,0,0,0
MAR-19,23400,C,0,0,0,0,0,0,0,0,5684,-34,0,0,0,0,0,0,0
MAR-19,23600,C,0,0,0,0,0,0,0,0,5484,-34,0,0,0,0,0,500,0
MAR-19,23800,C,0,0,0,0,0,0,0,0,5284,-34,0,0,2500,2410,0,10,0
MAR-19,24000,C,0,0,0,0,0,0,0,0,5084,-34,0,0,5135,2081,0,42,0
MAR-19,24200,C,0,0,0,0,0,4802,4802,4802,4884,-45,0,1,4802,2135,1,12,0
MAR-19,24400,C,0,0,0,0,0,0,0,0,4684,-34,0,0,3608,1660,0,14,0
MAR-19,24600,C,0,0,0,0,0,0,0,0,4484,-34,0,0,1579,1444,0,20,0
MAR-19,24800,C,0,0,0,0,0,0,0,0,4284,-34,0,0,2850,1320,0,560,0
MAR-19,25000,C,0,0,0,0,0,0,0,0,4084,-34,0,0,4088,1108,0,530,0
MAR-19,25200,C,0,0,0,0,0,0,0,0,3884,-34,0,0,3710,1002,0,722,0
MAR-19,25400,C,0,0,0,0,0,0,0,0,3684,-34,0,0,1926,1008,0,386,0
MAR-19,25600,C,0,0,0,0,0,0,0,0,3484,-34,0,0,3201,818,0,203,0
MAR-19,25800,C,0,0,0,0,0,0,0,0,3284,-35,0,0,3602,811,0,183,0
MAR-19,26000,C,0,0,0,0,0,0,0,0,3084,-35,0,2,3201,624,2,1347,0
MAR-19,26200,C,0,0,0,0,0,0,0,0,2884,-35,0,0,2915,570,0,558,0
MAR-19,26400,C,0,0,0,0,0,0,0,0,2685,-34,27,0,2690,482,0,2334,0
MAR-19,26600,C,2400,2408,2380,2380,3,0,0,0,2485,-35,25,0,2900,444,3,784,0
MAR-19,26800,C,0,0,0,0,0,0,0,0,2285,-36,23,0,2247,408,0,618,0
MAR-19,27000,C,0,0,0,0,0,2223,2223,1934,2086,-47,23,17,2450,328,17,2008,+1
MAR-19,27200,C,0,0,0,0,0,0,0,0,1888,-43,23,0,2224,307,0,964,0
MAR-19,27400,C,0,0,0,0,0,1570,1570,1570,1689,-44,22,1,2000,247,1,1194,0
MAR-19,27600,C,1558,1558,1558,1558,1,0,0,0,1490,-45,20,0,1800,216,1,614,0
MAR-19,27800,C,1112,1112,1112,1112,1,1230,1230,1230,1295,-45,19,1,1782,186,2,563,-1
MAR-19,28000,C,1000,1020,1000,1020,3,1165,1165,900,1099,-48,18,26,3250,144,29,2050,+3
MAR-19,28200,C,880,982,822,982,11,1028,1028,706,901,-57,15,20,1628,123,31,1059,-16
MAR-19,28400,C,645,834,645,763,10,804,804,556,713,-64,15,26,3680,140,36,2643,-1
MAR-19,28600,C,570,634,470,588,22,650,700,381,535,-69,14,310,1591,90,332,2149,+25
MAR-19,28800,C,399,483,328,436,181,534,534,251,373,-70,13,1006,3320,82,1187,2474,+291
MAR-19,29000,C,277,330,209,295,295,348,384,147,235,-74,12,3563,3590,70,3858,4413,+174
MAR-19,29200,C,172,215,127,189,782,228,252,80,134,-61,12,5046,3450,78,5828,3831,+364
MAR-19,29400,C,103,125,69,112,748,136,151,43,70,-49,12,4583,1130,43,5331,3657,+626
MAR-19,29600,C,56,66,36,56,1087,71,82,21,32,-34,12,3055,2450,21,4142,3954,-269
MAR-19,29800,C,30,31,17,28,826,35,41,10,13,-22,12,1745,2356,10,2571,2565,-268
MAR-19,30000,C,15,16,9,14,529,16,19,5,5,-12,12,923,2865,5,1452,7225,-39
MAR-19,30200,C,7,9,5,7,83,8,9,3,2,-6,12,488,2420,3,571,2910,+3
MAR-19,30400,C,5,5,2,4,59,5,5,2,1,-3,13,255,2316,2,314,2061,-109
MAR-19,30600,C,3,4,2,2,130,2,3,1,1,-1,15,178,2217,1,308,1536,-113
MAR-19,30800,C,2,2,2,2,3,2,2,1,1,0,17,134,2121,1,137,1802,-77
