"Hong Kong Exchanges and Clearing Limited and/or its subsidiaries endeavour to ensure the"
"accuracy and reliability of the information provided, but do not guarantee its accuracy and"
"reliability and accept no liability (whether in tort or contract or otherwise) for any loss"
"or damage arising from any inaccuracies or omissions."


"STOCK OPTIONS DAILY MARKET REPORT AS AT 22 MAR 2019"


,,,"SUMMARY TRADING VOLUME",,,"SUMMARY OPEN INTEREST"
"HKATS CODE","UNDERLYING STOCK",,"TOTAL","CALLS","PUTS","TOTAL","CALLS","PUTS","IV%*"
A50,X ISHARES A50,(02823),4042,2422,1620,79592,47397,32195,25
AAC,AAC TECH,(02018),7687,3628,4059,38376,21489,16887,44
ACC,ANHUI CONCH,(00914),3101,1685,1416,53784,25672,28112,30
AIA,AIA,(01299),7996,4379,3617,142414,62880,79534,20
AIR,AIR CHINA,(00753),70,36,34,1842,877,965,46
ALC,ALUMINUM CORP OF CHINA,(02600),804,794,10,30834,25797,5037,37
AMC,CAM CSI300,(03188),4668,1340,3328,77639,39225,38414,21
BCM,BANK OF COMM CO LTD,(03328),3310,1621,1689,48871,23181,25690,20
BEA,BANK OF EAST ASIA,(00023),37,0,37,11711,2944,8767,18
BOC,BOC HK (HLDGS) LTD,(02388),3415,1508,1907,62279,29220,33059,15
BYD,BYD COMPANY,(01211),3822,2114,1708,84744,49039,35705,45
CCC,CHINA COMM CONS,(01800),1479,857,622,44579,18379,26200,24
CCE,CHINA COAL,(01898),401,311,90,26248,9729,16519,24
CCS,COSCO SHIP HOLD,(01919),0,0,0,410,310,100,20
CDA,CHINA CINDA,(01359),153,31,122,9399,4951,4448,29
CGN,CGN POWER,(01816),22,22,0,2469,1111,1358,24
CHT,CHINA MOBILE LTD,(00941),26447,13415,13032,238708,118152,120556,20
CHU,CHINA UNICOM LTD,(00762),1479,272,1207,59053,31169,27884,29
CIT,CITIC,(00267),350,33,317,34219,18430,15789,18
CKH,CKH HOLDINGS,(00001),8830,4888,3942,72197,38059,34138,21
CKP,CK ASSET,(01113),1246,560,686,21169,9530,11639,20
CLI,CHINA LIFE INSURANCE,(02628),18195,10587,7608,419955,191542,228413,33
CLP,CLP HOLDINGS LTD,(00002),410,233,177,16949,8235,8714,12
CMB,CM BANK,(03968),4914,3007,1907,179323,86744,92579,29
CNC,CNOOC LTD,(00883),7826,4434,3392,179686,72609,107077,28
COD,COG (ADJ-B),(02007),30,0,30,1334,831,503,34
COG,COUNTRY GARDEN,(02007),1058,306,752,28370,13806,14564,33
COL,CHINA OVERSEAS,(00688),1471,695,776,30136,14117,16019,29
CPA,CATHAY PACIFIC AIRWAYS,(00293),58,33,25,2401,682,1719,18
CPC,CHINA PETROL & CHEM COR,(00386),15078,10178,4900,245235,122353,122882,30
CPI,CPIC,(02601),8131,4714,3417,130065,71673,58392,39
CRC,CHINA RAIL CONS,(01186),253,146,107,8052,4269,3783,27
CRG,CHINA RAILWAY,(00390),429,159,270,22187,11501,10686,29
CRL,CHINA RES LAND,(01109),1773,849,924,22586,11382,11204,41
CSA,CSOP A50 ETF,(02822),6744,5781,963,97851,57763,40088,20
CSE,CHINA SHENHUA,(01088),6116,1816,4300,87084,44892,42192,28
CSP,CSPC PHARMA,(01093),1663,830,833,19128,9298,9830,42
CTB,CITIC BANK,(00998),1437,800,637,76999,38238,38761,25
